Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Meditating duration (ms)
2015-08-30,2114.50634765625,4455.869140625,,,,50.84788513183594,3.5678892135620117,50.929046630859375,3.6303937435150146,2.000502347946167,5.0,1.0,7115,,,,,77301318,5392215,34645,
2015-08-31,2040.119384765625,2872.907470703125,,,,50.871856689453125,3.578312635421753,51.049591064453125,3.748290538787842,3.5911056995391846,6.8007354736328125,1.6007810831069946,11130,,,,,62957748,4367135,,
2015-09-01,2161.63623046875,4600.21142578125,,,,50.8519401550293,3.568244218826294,50.89447021484375,3.627124309539795,1.0405694246292114,1.5811388492584229,0.5,9462,,,,,73757940,5246904,407219,
2015-09-02,2050.2724609375,3270.479248046875,,,,50.8478889465332,3.578599691390991,50.87230682373047,3.6216111183166504,1.3605612516403198,2.5,0.5,7372,,,,,73611814,4517762,,
2015-09-03,1988.9022216796875,1835.9068603515625,,,,50.85439682006836,3.578599214553833,51.048065185546875,3.735713005065918,13.207978248596191,28.75,0.5,4234,,,,799976,70935875,2260068,,
2015-09-04,2199.5634765625,4226.533203125,,,,50.8632698059082,3.550060510635376,51.05215835571289,3.7493793964385986,2.2372708320617676,16.25,0.55901700258255,11765,,,,,56124534,6732568,,
2015-09-05,2035.367431640625,3176.407958984375,,,,50.86943435668945,3.578599691390991,51.05705261230469,3.7315332889556885,0.890408992767334,2.5495097637176514,0.5,9984,,,,,67094436,4296637,,
2015-09-06,1844.154052734375,1070.9796142578125,,,,50.87150955200195,3.578601598739624,50.872127532958984,3.579202651977539,1.0408984422683716,1.6007810831069946,0.5,2422,,,,,84225499,1459879,,
2015-09-07,1945.4794921875,2226.149658203125,,,,50.8718376159668,3.57873797416687,51.04813003540039,3.7526111602783203,1.8964624404907227,3.5794553756713867,0.5,5121,,,,,79757750,2963105,,
2015-09-08,2084.267333984375,4157.943359375,,,,50.85096740722656,3.578599452972412,51.04818344116211,3.732038736343384,2.4307661056518555,27.0,0.5,11022,,,,,64285778,5741993,,
